tREFI,L0_total,L0_compute,L0_stall,L1_total,L1_compute,L1_stall,L2_total,L2_compute,L2_stall,L3_total,L3_compute,L3_stall,L4_total,L4_compute,L4_stall
11700,50367,8608,4761,88654,6251,52,108298,6537,338,1612255,1086806,1025239,1514984,964931,903364
13650,49813,8006,4159,88390,6255,56,108231,6517,318,1602405,1081734,1020167,1507977,957956,896389
15600,49371,7765,3918,88270,6246,47,108114,6506,307,1602580,1079719,1018152,1502151,955556,893989
17550,49737,7859,4012,88442,6243,44,107938,6456,257,1596943,1077228,1015661,1498732,948804,887237
19500,49689,8046,4199,88525,6236,37,107813,6445,246,1599851,1076591,1015024,1485240,946792,885225
3900,54447,10913,7066,88661,6266,67,112488,9652,3453,1665173,1129847,1068280,1634369,1082983,1021416
5850,51333,9305,5458,90047,6523,324,109308,7058,859,1639100,1107861,1046294,1559119,1016289,954722
7800,50776,8709,4862,88562,6248,49,108909,6775,576,1620098,1092485,1030918,1541834,987993,926426
9750,50392,8324,4477,88576,6271,72,108592,6664,465,1616773,1089983,1028416,1508294,973136,911569
